GameId,SeasonYear,OffenseTeam,ConversionSuccess,ShortYardage,IsRush,MediumYardage,IsPass,IsGoForIt,LongYardage,IsTouchdown,IsIncomplete,YardsToGo,DownToGoRatio,Yards,YardLineFixed,FieldPosition
2019122205,2019,ATL,,0,0,0,0,0,1,0,0,10,2.0,0,37,0.37
2019122207,2019,IND,,0,0,0,0,0,1,0,0,13,2.6,0,40,0.4
2019122207,2019,CAR,0.0,1,1,0,0,1,0,0,0,1,0.2,0,12,0.12
2019122207,2019,CAR,1.0,0,0,0,1,1,1,0,0,10,2.0,12,46,0.46
2019122207,2019,CAR,,0,0,0,0,0,1,0,0,12,2.4,0,32,0.32
2019122207,2019,IND,,0,0,0,0,0,1,0,0,14,2.8,0,17,0.17
2019122207,2019,IND,0.0,1,1,0,0,1,0,0,0,1,0.2,-1,3,0.03
2019122207,2019,CAR,,0,0,1,0,0,0,0,0,6,1.2,0,9,0.09
2019122207,2019,CAR,1.0,0,0,1,1,1,0,0,0,3,0.6,12,39,0.39
2019122207,2019,CAR,,0,0,1,0,0,0,0,0,5,1.0,-9,5,0.05
2019122207,2019,IND,1.0,1,1,0,0,1,0,1,0,1,0.2,1,1,0.01
2019122206,2019,CLE,,0,0,1,0,0,0,0,0,6,1.2,0,6,0.06
2019122209,2019,NYJ,1.0,1,1,0,0,1,0,0,0,1,0.2,7,31,0.31
2019122206,2019,BAL,,0,0,0,0,0,1,0,0,13,2.6,0,13,0.13
2019122206,2019,CLE,,0,0,0,0,0,1,0,0,10,2.0,0,29,0.29
2019122206,2019,CLE,,1,0,0,0,0,0,0,0,1,0.2,0,23,0.23
2019122206,2019,CLE,0.0,1,0,0,1,1,0,0,0,2,0.4,-2,37,0.37
2019111709,2019,LV,,0,0,0,0,0,1,0,0,9,1.8,0,36,0.36
2019122210,2019,TEN,0.0,0,0,0,1,1,1,0,1,10,2.0,0,41,0.41
2019122209,2019,PIT,0.0,0,0,0,1,1,1,0,1,7,1.4,0,44,0.44
2019122209,2019,NYJ,,1,0,0,0,0,0,0,0,2,0.4,0,24,0.24
2019122209,2019,PIT,,0,0,0,0,0,1,0,0,24,4.8,0,46,0.46
2019122209,2019,PIT,,0,0,0,0,0,1,0,0,7,1.4,0,40,0.4
2019122209,2019,NYJ,,0,0,0,0,0,1,0,0,10,2.0,0,19,0.19
2019122209,2019,PIT,,0,0,0,0,0,1,0,0,11,2.2,0,31,0.31
2019122206,2019,CLE,,0,0,1,0,0,0,0,0,5,1.0,0,47,0.47
2019122206,2019,BAL,0.0,0,0,1,1,1,0,0,1,3,0.6,0,41,0.41
2019122205,2019,JAX,0.0,0,0,0,1,1,1,0,1,7,1.4,0,7,0.07
2019122205,2019,JAX,1.0,0,0,1,1,1,0,0,0,4,0.8,23,28,0.28
2019122205,2019,JAX,1.0,0,0,0,1,1,1,0,0,10,2.0,14,48,0.48
2019121513,2019,MIN,,0,0,0,0,0,1,0,0,7,1.4,0,26,0.26
2019121512,2019,SF,,0,0,1,0,0,0,0,0,4,0.8,0,28,0.28
2019121512,2019,SF,,0,0,1,0,0,0,0,0,4,0.8,0,4,0.04
