GameId,GameDate,SeasonYear,OffenseTeam,DefenseTeam,Description,Down,YardsToGo,YardLineFixed,FieldPosition,RedZone,OpponentTerritory,OwnTerritory,Quarter,GameTime,LateGame,Overtime,ShortYardage,MediumYardage,LongYardage,DownToGoRatio,DecisionType,IsGoForIt,IsFieldGoalAttempt,IsPuntAttempt,IsRush,IsPass,PlayType,Formation,Yards,ConversionSuccess,FieldGoalSuccess,PlaySuccess,IsTouchdown,IsIncomplete,IsSack,IsInterception,IsFumble
2021101008,2021-10-10,2021,WAS,NO,"(9:51) 5-T.WAY PUNTS 47 YARDS TO NO 31, CENTER-54-C.CHEESEMAN. 41-A.KAMARA TO NO 33 FOR 2 YARDS (96-J.SMITH-WILLIAMS; 47-K.HUDSON).",4,2,22,0.22,0,0,1,3,36,0,0,1,0,0,0.4,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101008,2021-10-10,2021,WAS,NO,"(:19) 5-T.WAY PUNTS 56 YARDS TO NO 38, CENTER-54-C.CHEESEMAN. 41-A.KAMARA TO WAS 49 FOR 13 YARDS (47-K.HUDSON).",4,5,6,0.06,0,0,1,2,30,0,0,0,1,0,1.0,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101008,2021-10-10,2021,NO,WAS,"(2:01) 4-B.GILLIKIN PUNTS 60 YARDS TO WAS 1, CENTER-49-Z.WOOD, OUT OF BOUNDS.",4,18,39,0.39,0,0,1,2,28,0,0,0,0,1,3.6,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101008,2021-10-10,2021,WAS,NO,(4:18) (SHOTGUN) 4-T.HEINICKE PASS INCOMPLETE SHORT LEFT TO 17-T.MCLAURIN (23-M.LATTIMORE).,4,10,35,0.35,0,0,1,2,26,0,0,0,0,1,2.0,Pass,1,0,0,0,1,PASS,SHOTGUN,0,0.0,,1,0,1,0,0,0
2021101008,2021-10-10,2021,NO,WAS,"(6:50) 4-B.GILLIKIN PUNTS 46 YARDS TO NO 47, CENTER-49-Z.WOOD, OUT OF BOUNDS. NO-24-D.WASHINGTON WAS INJURED DURING THE PLAY.",4,11,1,0.01,0,0,1,2,24,0,0,0,0,1,2.2,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101008,2021-10-10,2021,WAS,NO,"(1:00) 5-T.WAY PUNTS 38 YARDS TO NO 11, CENTER-54-C.CHEESEMAN, OUT OF BOUNDS. PENALTY ON NO-96-C.GRANDERSON, ROUGHING THE KICKER, 15 YARDS, ENFORCED AT NO 49 - NO PLAY.",4,15,49,0.49,0,0,1,1,14,0,0,0,0,1,3.0,Punt,0,0,1,0,0,PUNT,PUNT,0,,,0,0,0,0,0,0
2021101005,2021-10-10,2021,DET,MIN,"(10:38) 4-A.SEIBERT 39 YARD FIELD GOAL IS GOOD, CENTER-47-S.DALY, HOLDER-3-J.FOX.",4,9,21,0.21,0,0,1,1,5,0,0,0,0,1,1.8,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101004,2021-10-10,2021,JAX,TEN,"(2:27) 15-M.WRIGHT 53 YARD FIELD GOAL IS NO GOOD, HIT CROSSBAR, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",4,8,34,0.34,0,0,1,2,28,0,0,0,0,1,1.6,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101004,2021-10-10,2021,JAX,TEN,"(10:01) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 86-J.HOLLISTER FOR 1 YARD, TOUCHDOWN.",4,1,1,0.01,0,0,1,2,20,0,0,1,0,0,0.2,Pass,1,0,0,0,1,PASS,SHOTGUN,1,1.0,,1,1,0,0,0,0
2021101004,2021-10-10,2021,JAX,TEN,"(4:53) 9-L.COOKE PUNTS 42 YARDS TO TEN 21, CENTER-46-R.MATISCIK, FAIR CATCH BY 80-C.ROGERS.",4,9,37,0.37,0,0,1,1,11,0,0,0,0,1,1.8,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101003,2021-10-10,2021,NE,HOU,"(:17) 6-N.FOLK 21 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",4,3,3,0.03,0,0,1,4,60,1,0,0,1,0,0.6,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101003,2021-10-10,2021,HOU,NE,"(7:23) 11-C.JOHNSTON PUNTS 54 YARDS TO NE 13, CENTER-46-J.WEEKS, FAIR CATCH BY 80-G.OLSZEWSKI. PUNT HANGTIME: 4.84S",4,2,33,0.33,0,0,1,4,53,1,0,1,0,0,0.4,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101003,2021-10-10,2021,HOU,NE,"(13:29) 7-K.FAIRBAIRN 56 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-J.WEEKS, HOLDER-11-C.JOHNSTON.",4,4,38,0.38,0,0,1,4,47,1,0,0,1,0,0.8,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101003,2021-10-10,2021,NE,HOU,"(1:53) 6-N.FOLK 32 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",4,8,14,0.14,0,0,1,3,44,0,0,0,0,1,1.6,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101003,2021-10-10,2021,NE,HOU,"(8:29) 6-N.FOLK 52 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",4,7,33,0.33,0,0,1,3,37,0,0,0,0,1,1.4,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101003,2021-10-10,2021,NE,HOU,"(11:55) 7-J.BAILEY PUNTS 58 YARDS TO HOU 17, CENTER-49-J.CARDONA. 19-A.ROBERTS PUSHED OB AT HOU 28 FOR 11 YARDS (18-M.SLATER). PUNT HANGTIME: 4.88S",4,10,25,0.25,0,0,1,3,34,0,0,0,0,1,2.0,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101003,2021-10-10,2021,NE,HOU,"(:06) 6-N.FOLK 52 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",4,1,34,0.34,0,0,1,2,30,0,0,1,0,0,0.2,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101003,2021-10-10,2021,HOU,NE,"(1:40) 7-K.FAIRBAIRN 33 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-11-C.JOHNSTON.",4,15,15,0.15,0,0,1,2,29,0,0,0,0,1,3.0,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101003,2021-10-10,2021,HOU,NE,(2:50) (SHOTGUN) 10-D.MILLS PASS DEEP RIGHT TO 18-C.CONLEY TO NE 4 FOR 40 YARDS (33-J.WILLIAMS).,4,2,44,0.44,0,0,1,2,28,0,0,1,0,0,0.4,Pass,1,0,0,0,1,PASS,SHOTGUN,40,1.0,,1,0,0,0,0,0
